,GM,DAY,DATE,Away,HOME,Network,Average Viewers (000),Away P2+ IMP,Home P2+ IMP,DMA_TV_Households_Millions_x,DMA_TV_Households_Millions_y,Total Viewership
33,26,Sat,2016-10-29,ATL,PHI,Regional,0.0,22.0,49.0,2.41,2.94,71.0
34,35,Sun,2016-10-30,UTA,LAC,Regional,0.0,20.7,53.0,0.92,5.48,73.7
35,36,Sun,2016-10-30,GSW,PHX,Regional,0.0,242.0,27.0,2.49,1.89,269.0
36,37,Sun,2016-10-30,SAS,MIA,Regional,0.0,47.0,73.0,0.94,1.7,120.0
37,38,Sun,2016-10-30,MIL,DET,Regional,0.0,3.0,31.0,0.9,1.85,34.0
38,40,Sun,2016-10-30,LAL,OKC,Regional,0.0,10.0,46.9,5.48,0.72,56.9
39,39,Sun,2016-10-30,WAS,MEM,NBA TV,82.0,21.0,12.0,2.48,0.63,115.0
40,41,Sun,2016-10-30,DAL,HOU,Regional,0.0,7.0,59.0,2.71,2.45,66.0
41,42,Mon,2016-10-31,DEN,TOR,Regional,0.0,5.0,0.0,1.63,2.86,5.0
42,43,Mon,2016-10-31,CHI,BRK,NBA TV,176.0,92.0,60.0,3.46,7.35,328.0
43,44,Mon,2016-10-31,SAC,ATL,Regional,0.0,28.0,35.0,1.38,2.41,63.0
44,45,Mon,2016-10-31,PHX,LAC,Regional,0.0,31.0,103.0,1.89,5.48,134.0
45,46,Tue,2016-11-1,ORL,PHI,Regional,0.0,16.0,84.0,1.52,2.94,100.0
46,47,Tue,2016-11-1,HOU,CLE,NBA TV,400.0,65.0,212.0,2.45,1.5,677.0
47,48,Tue,2016-11-1,LAL,IND,Regional,0.0,91.0,28.0,5.48,1.09,119.0
48,49,Tue,2016-11-1,SAC,MIA,Regional,0.0,25.0,85.0,1.38,1.7,110.0
49,50,Tue,2016-11-1,NYK,DET,Regional,0.0,200.0,42.0,7.35,1.85,242.0
50,51,Tue,2016-11-1,MIL,NOP,Regional,0.0,14.0,6.0,0.9,0.64,20.0
51,52,Tue,2016-11-1,MEM,MIN,Regional,0.0,12.0,52.0,0.63,1.74,64.0
52,53,Tue,2016-11-1,UTA,SAS,Regional,0.0,36.0,50.0,0.92,0.94,86.0
53,54,Tue,2016-11-1,GSW,POR,NBA TV,692.0,283.0,40.0,2.49,1.14,1015.0
54,55,Wed,2016-11-2,TOR,WAS,Regional,0.0,0.0,16.0,2.86,2.48,16.0
55,56,Wed,2016-11-2,PHI,CHA,Regional,0.0,67.0,9.6,2.94,1.19,76.6
56,57,Wed,2016-11-2,DET,BRK,Regional,0.0,19.0,36.0,1.85,7.35,55.0
57,58,Wed,2016-11-2,HOU,NYK,Regional,0.0,49.0,102.0,2.45,7.35,151.0
58,59,Wed,2016-11-2,LAL,ATL,Regional,0.0,99.0,45.0,5.48,2.41,144.0
59,60,Wed,2016-11-2,NOP,MEM,Regional,0.0,10.0,13.0,0.64,0.63,23.0
60,61,Wed,2016-11-2,CHI,BOS,ESPN,811.0,46.0,38.0,3.46,2.42,895.0
61,62,Wed,2016-11-2,DAL,UTA,Regional,0.0,19.0,28.0,2.71,0.92,47.0
62,63,Wed,2016-11-2,POR,PHX,Regional,0.0,34.0,24.0,1.14,1.89,58.0
63,64,Wed,2016-11-2,OKC,LAC,ESPN,947.0,18.0,37.0,0.72,5.48,1002.0
64,65,Thu,2016-11-3,SAC,ORL,Regional,0.0,34.0,16.0,1.38,1.52,50.0
65,66,Thu,2016-11-3,IND,MIL,Regional,0.0,34.0,19.0,1.09,0.9,53.0
66,67,Thu,2016-11-3,DEN,MIN,Regional,0.0,5.0,51.0,1.63,1.74,56.0
67,68,Thu,2016-11-3,BOS,CLE,TNT,2277.0,0.0,0.0,2.42,1.5,2277.0
68,69,Thu,2016-11-3,OKC,GSW,TNT,3769.0,0.0,0.0,0.72,2.49,3769.0
69,70,Fri,2016-11-4,ATL,WAS,Regional,0.0,26.0,27.0,2.41,2.48,53.0
70,71,Fri,2016-11-4,MIA,TOR,Regional,0.0,76.0,0.0,1.7,2.86,76.0
71,72,Fri,2016-11-4,CHA,BRK,Regional,0.0,6.6,48.0,1.19,7.35,54.6
72,73,Fri,2016-11-4,NYK,CHI,ESPN,1999.0,0.0,0.0,7.35,3.46,1999.0
73,74,Fri,2016-11-4,LAC,MEM,Regional,0.0,52.0,7.545454545,5.48,0.63,59.545454545
74,75,Fri,2016-11-4,PHX,NOP,Regional,0.0,44.0,9.909090909,1.89,0.64,53.909090909
75,76,Fri,2016-11-4,POR,DAL,Regional,0.0,38.0,30.0,1.14,2.71,68.0
76,77,Fri,2016-11-4,SAS,UTA,Regional,0.0,46.0,32.9,0.94,0.92,78.9
77,78,Fri,2016-11-4,GSW,LAL,ESPN,2496.0,205.0,156.0,2.49,5.48,2857.0
78,79,Sat,2016-11-5,MIN,OKC,Regional,0.0,17.0,32.72727273,1.74,0.72,49.72727273
79,80,Sat,2016-11-5,CLE,PHI,Regional,0.0,110.0,98.0,1.5,2.94,208.0
80,81,Sat,2016-11-5,WAS,ORL,Regional,0.0,27.0,12.0,2.48,1.52,39.0
81,82,Sat,2016-11-5,DEN,DET,Regional,0.0,17.0,46.0,1.63,1.85,63.0
82,83,Sat,2016-11-5,CHI,IND,Regional,0.0,76.0,32.0,3.46,1.09,108.0
83,84,Sat,2016-11-5,HOU,ATL,Regional,0.0,55.0,37.0,2.45,2.41,92.0
84,85,Sat,2016-11-5,SAC,MIL,Regional,0.0,26.0,15.0,1.38,0.9,41.0
85,86,Sat,2016-11-5,LAC,SAS,NBA TV,270.0,105.0,30.0,5.48,0.94,405.0
86,88,Sun,2016-11-6,POR,MEM,Regional,0.0,32.0,14.8,1.14,0.63,46.8
87,89,Sun,2016-11-6,SAC,TOR,Regional,0.0,28.0,0.0,1.38,2.86,28.0
88,90,Sun,2016-11-6,MIL,DAL,NBA TV,191.0,14.0,25.0,0.9,2.71,230.0
89,91,Sun,2016-11-6,DEN,BOS,Regional,0.0,5.0,34.0,1.63,2.42,39.0
90,92,Sun,2016-11-6,PHX,LAL,Regional,0.0,57.0,204.0,1.89,5.48,261.0
91,87,Sun,2016-11-6,UTA,NYK,Regional,0.0,27.36363636,90.0,0.92,7.35,117.36363636
92,93,Mon,2016-11-7,UTA,PHI,NBA TV,171.0,34.2,76.0,0.92,2.94,281.2
93,94,Mon,2016-11-7,HOU,WAS,Regional,0.0,48.0,24.0,2.45,2.48,72.0
94,95,Mon,2016-11-7,IND,CHA,Regional,0.0,28.0,19.0,1.09,1.19,47.0
95,96,Mon,2016-11-7,ORL,CHI,Regional,0.0,15.0,174.0,1.52,3.46,189.0
96,97,Mon,2016-11-7,MIA,OKC,Regional,0.0,61.0,45.5,1.7,0.72,106.5
97,98,Mon,2016-11-7,DET,LAC,Regional,0.0,13.0,80.0,1.85,5.48,93.0
98,99,Mon,2016-11-7,NOP,GSW,Regional,0.0,5.3,341.0,0.64,2.49,346.3
99,100,Tue,2016-11-8,ATL,CLE,NBA TV,429.0,65.0,135.0,2.41,1.5,629.0
100,101,Tue,2016-11-8,MIN,BRK,Regional,0.0,23.0,34.0,1.74,7.35,57.0
101,102,Tue,2016-11-8,DEN,MEM,Regional,0.0,11.0,10.0,1.63,0.63,21.0
102,103,Tue,2016-11-8,PHX,POR,Regional,0.0,24.0,32.0,1.89,1.14,56.0
103,104,Tue,2016-11-8,DAL,LAL,Regional,0.0,28.0,172.0,2.71,5.48,200.0
104,105,Tue,2016-11-8,NOP,SAC,NBA TV,174.0,2.0,37.0,0.64,1.38,213.0
105,106,Wed,2016-11-9,BRK,NYK,ESPN,1114.0,32.0,136.0,7.35,7.35,1282.0
106,107,Wed,2016-11-9,BOS,WAS,Regional,0.0,35.0,22.0,2.42,2.48,57.0
107,108,Wed,2016-11-9,UTA,CHA,Regional,0.0,33.5,23.45454545,0.92,1.19,56.95454545
108,109,Wed,2016-11-9,MIN,ORL,Regional,0.0,34.0,17.0,1.74,1.52,51.0
109,110,Wed,2016-11-9,PHI,IND,Regional,0.0,79.0,38.0,2.94,1.09,117.0
110,111,Wed,2016-11-9,CHI,ATL,Regional,0.0,110.0,61.0,3.46,2.41,171.0
111,112,Wed,2016-11-9,TOR,OKC,Regional,0.0,0.0,54.81818182,2.86,0.72,54.81818182
112,113,Wed,2016-11-9,DET,PHX,Regional,0.0,25.0,33.0,1.85,1.89,58.0
113,114,Wed,2016-11-9,HOU,SAS,ESPN,1451.0,46.0,36.0,2.45,0.94,1533.0
114,115,Wed,2016-11-9,POR,LAC,Regional,0.0,32.0,91.0,1.14,5.48,123.0
115,116,Wed,2016-11-9,DAL,GSW,Regional,0.0,43.0,370.0,2.71,2.49,413.0
116,117,Thu,2016-11-10,NOP,MIL,Regional,0.0,5.1,16.0,0.64,0.9,21.1
117,118,Thu,2016-11-10,CHI,MIA,TNT,1581.0,0.0,0.0,3.46,1.7,1581.0
118,119,Thu,2016-11-10,GSW,DEN,Regional,0.0,262.0,15.0,2.49,1.63,277.0
119,120,Thu,2016-11-10,LAL,SAC,TNT,1497.0,0.0,0.0,5.48,1.38,1497.0
120,121,Fri,2016-11-11,IND,PHI,Regional,0.0,33.0,83.0,1.09,2.94,116.0
121,122,Fri,2016-11-11,CLE,WAS,Regional,0.0,156.0,29.0,1.5,2.48,185.0
122,123,Fri,2016-11-11,TOR,CHA,Regional,0.0,0.0,15.0,2.86,1.19,15.0
123,124,Fri,2016-11-11,UTA,ORL,Regional,0.0,22.7,10.0,0.92,1.52,32.7
124,125,Fri,2016-11-11,NYK,BOS,Regional,0.0,162.0,38.0,7.35,2.42,200.0
125,126,Fri,2016-11-11,LAC,OKC,NBA TV,407.0,148.0,57.27272727,5.48,0.72,612.27272727
126,127,Fri,2016-11-11,DET,SAS,Regional,0.0,26.0,49.0,1.85,0.94,75.0
127,128,Fri,2016-11-11,SAC,POR,Regional,0.0,31.0,63.0,1.38,1.14,94.0
128,129,Sat,2016-11-12,LAL,NOP,Regional,0.0,119.0,6.1111111110000005,5.48,0.64,125.111111111
129,130,Sat,2016-11-12,BOS,IND,Regional,0.0,45.0,34.0,2.42,1.09,79.0
130,131,Sat,2016-11-12,NYK,TOR,Regional,0.0,183.0,0.0,7.35,2.86,183.0
131,132,Sat,2016-11-12,PHI,ATL,Regional,0.0,44.0,52.0,2.94,2.41,96.0
132,133,Sat,2016-11-12,WAS,CHI,Regional,0.0,17.0,130.0,2.48,3.46,147.0
133,134,Sat,2016-11-12,SAS,HOU,Regional,0.0,41.0,57.0,0.94,2.45,98.0
134,135,Sat,2016-11-12,LAC,MIN,Regional,0.0,98.0,6.0,5.48,1.74,104.0
135,136,Sat,2016-11-12,UTA,MIA,Regional,0.0,34.83333333,52.0,0.92,1.7,86.83333333
136,137,Sat,2016-11-12,MEM,MIL,Regional,0.0,12.3,14.0,0.63,0.9,26.3
137,138,Sat,2016-11-12,DET,DEN,NBA TV,105.0,8.0,17.0,1.85,1.63,130.0
138,139,Sat,2016-11-12,BRK,PHX,Regional,0.0,40.0,21.0,7.35,1.89,61.0
139,140,Sun,2016-11-13,CHA,CLE,Regional,0.0,14.5,120.0,1.19,1.5,134.5
140,141,Sun,2016-11-13,ORL,OKC,Regional,0.0,17.0,40.41666667,1.52,0.72,57.41666667
141,142,Sun,2016-11-13,LAL,MIN,Regional,0.0,146.0,26.0,5.48,1.74,172.0
142,143,Sun,2016-11-13,PHX,GSW,Regional,0.0,56.0,319.0,1.89,2.49,375.0
143,144,Sun,2016-11-13,DEN,POR,Regional,0.0,0.0,37.0,1.63,1.14,37.0
144,145,Mon,2016-11-14,ORL,IND,Regional,0.0,12.0,30.0,1.52,1.09,42.0
145,146,Mon,2016-11-14,DAL,NYK,Regional,0.0,16.0,155.0,2.71,7.35,171.0
146,147,Mon,2016-11-14,OKC,DET,Regional,0.0,36.0,45.0,0.72,1.85,81.0
147,148,Mon,2016-11-14,BOS,NOP,Regional,0.0,41.0,11.0,2.42,0.64,52.0
148,149,Mon,2016-11-14,PHI,HOU,NBA TV,136.0,48.0,59.0,2.94,2.45,243.0
149,150,Mon,2016-11-14,MIA,SAS,Regional,0.0,53.0,46.0,1.7,0.94,99.0
150,151,Mon,2016-11-14,MEM,UTA,Regional,0.0,10.0,35.0,0.63,0.92,45.0
151,152,Mon,2016-11-14,BRK,LAC,Regional,0.0,28.0,103.0,7.35,5.48,131.0
152,153,Tue,2016-11-15,TOR,CLE,NBA TV,473.0,0.0,196.0,2.86,1.5,669.0
153,154,Tue,2016-11-15,ATL,MIA,Regional,0.0,59.0,50.0,2.41,1.7,109.0
154,155,Tue,2016-11-15,CHA,MIN,Regional,0.0,14.0,30.0,1.19,1.74,44.0
155,156,Tue,2016-11-15,CHI,POR,NBA TV,306.0,167.0,35.0,3.46,1.14,508.0
156,157,Tue,2016-11-15,BRK,LAL,Regional,0.0,36.0,261.0,7.35,5.48,297.0
157,158,Wed,2016-11-16,WAS,PHI,Regional,0.0,25.0,85.0,2.48,2.94,110.0
158,159,Wed,2016-11-16,NOP,ORL,Regional,0.0,9.2,15.0,0.64,1.52,24.2
159,160,Wed,2016-11-16,CLE,IND,Regional,0.0,137.0,37.0,1.5,1.09,174.0
160,161,Wed,2016-11-16,DAL,BOS,Regional,0.0,18.0,66.0,2.71,2.42,84.0
161,162,Wed,2016-11-16,DET,NYK,Regional,0.0,47.0,234.0,1.85,7.35,281.0
162,163,Wed,2016-11-16,MIL,ATL,Regional,0.0,16.0,50.0,0.9,2.41,66.0
163,164,Wed,2016-11-16,HOU,OKC,Regional,0.0,67.0,60.0,2.45,0.72,127.0
164,165,Wed,2016-11-16,GSW,TOR,ESPN,2000.0,324.0,0.0,2.49,2.86,2324.0
165,166,Wed,2016-11-16,PHX,DEN,Regional,0.0,43.0,12.0,1.89,1.63,55.0
166,167,Wed,2016-11-16,MEM,LAC,ESPN,1615.0,0.0,87.0,0.63,5.48,1702.0
167,168,Wed,2016-11-16,SAS,SAC,Regional,0.0,34.0,46.0,0.94,1.38,80.0
168,169,Thu,2016-11-17,NYK,WAS,Regional,0.0,100.0,25.0,7.35,2.48,125.0
169,170,Thu,2016-11-17,MIL,MIA,Regional,0.0,14.0,66.0,0.9,1.7,80.0
170,171,Thu,2016-11-17,POR,HOU,Regional,0.0,25.0,43.0,1.14,2.45,68.0
171,172,Thu,2016-11-17,PHI,MIN,TNT,611.0,0.0,0.0,2.94,1.74,611.0
172,173,Thu,2016-11-17,CHI,UTA,TNT,736.0,63.0,0.0,3.46,0.92,799.0
173,174,Fri,2016-11-18,ATL,CHA,Regional,0.0,23.0,16.0,2.41,1.19,39.0
174,176,Fri,2016-11-18,PHX,IND,Regional,0.0,36.0,35.0,1.89,1.09,71.0
175,175,Fri,2016-11-18,DET,CLE,Regional,0.0,30.0,194.0,1.85,1.5,224.0
176,177,Fri,2016-11-18,POR,NOP,Regional,0.0,40.0,14.3,1.14,0.64,54.3
177,178,Fri,2016-11-18,BRK,OKC,Regional,0.0,38.0,49.0,7.35,0.72,87.0
178,179,Fri,2016-11-18,GSW,BOS,ESPN,1962.0,246.0,78.0,2.49,2.42,2286.0
179,180,Fri,2016-11-18,MEM,DAL,Regional,0.0,7.0,17.0,0.63,2.71,24.0
180,181,Fri,2016-11-18,TOR,DEN,Regional,0.0,0.0,14.0,2.86,1.63,14.0
181,182,Fri,2016-11-18,SAS,LAL,Regional,0.0,67.0,187.0,0.94,5.48,254.0
182,183,Fri,2016-11-18,LAC,SAC,ESPN,1281.0,61.0,26.0,5.48,1.38,1368.0
183,184,Sat,2016-11-19,UTA,HOU,Regional,0.0,13.0,30.0,0.92,2.45,43.0
184,185,Sat,2016-11-19,CHA,NOP,Regional,0.0,35.0,8.5,1.19,0.64,43.5
185,186,Sat,2016-11-19,MIA,WAS,Regional,0.0,50.0,44.0,1.7,2.48,94.0
186,187,Sat,2016-11-19,DAL,ORL,Regional,0.0,6.0,18.0,2.71,1.52,24.0
187,188,Sat,2016-11-19,BOS,DET,Regional,0.0,52.0,21.0,2.42,1.85,73.0
188,189,Sat,2016-11-19,PHX,PHI,Regional,0.0,7.0,64.0,1.89,2.94,71.0
189,190,Sat,2016-11-19,MIN,MEM,NBA TV,172.0,38.0,12.45454545,1.74,0.63,222.45454545
190,191,Sat,2016-11-19,GSW,MIL,Regional,0.0,370.0,18.0,2.49,0.9,388.0
191,192,Sat,2016-11-19,CHI,LAC,NBA TV,286.0,189.0,102.0,3.46,5.48,577.0
192,194,Sun,2016-11-20,POR,BRK,Regional,0.0,28.0,19.0,1.14,7.35,47.0
193,195,Sun,2016-11-20,IND,OKC,Regional,0.0,28.0,58.58333333,1.09,0.72,86.58333333
194,196,Sun,2016-11-20,TOR,SAC,Regional,0.0,0.0,37.0,2.86,1.38,37.0
195,197,Sun,2016-11-20,UTA,DEN,Regional,0.0,16.8,10.0,0.92,1.63,26.8
196,198,Sun,2016-11-20,CHI,LAL,Regional,0.0,128.0,172.0,3.46,5.48,300.0
197,193,Sun,2016-11-20,ATL,NYK,Regional,0.0,15.0,87.0,2.41,7.35,102.0
198,199,Mon,2016-11-21,MIA,PHI,Regional,0.0,53.0,102.0,1.7,2.94,155.0
199,200,Mon,2016-11-21,PHX,WAS,Regional,0.0,26.0,22.0,1.89,2.48,48.0
200,201,Mon,2016-11-21,MEM,CHA,Regional,0.0,13.2,14.0,0.63,1.19,27.2
201,202,Mon,2016-11-21,GSW,IND,Regional,0.0,210.0,27.0,2.49,1.09,237.0
202,203,Mon,2016-11-21,HOU,DET,Regional,0.0,25.0,46.0,2.45,1.85,71.0
203,204,Mon,2016-11-21,ORL,MIL,Regional,0.0,12.0,9.0,1.52,0.9,21.0
204,205,Mon,2016-11-21,BOS,MIN,Regional,0.0,59.0,25.0,2.42,1.74,84.0
205,206,Mon,2016-11-21,DAL,SAS,NBA TV,202.0,23.0,30.0,2.71,0.94,255.0
206,207,Mon,2016-11-21,TOR,LAC,Regional,0.0,0.0,118.0,2.86,5.48,118.0
207,208,Tue,2016-11-22,POR,NYK,Regional,0.0,57.0,262.0,1.14,7.35,319.0
208,209,Tue,2016-11-22,NOP,ATL,Regional,0.0,9.0,58.0,0.64,2.41,67.0
209,210,Tue,2016-11-22,CHI,DEN,NBA TV,449.0,181.0,35.0,3.46,1.63,665.0
210,211,Tue,2016-11-22,OKC,LAL,Regional,0.0,43.0,227.0,0.72,5.48,270.0
211,212,Wed,2016-11-23,MEM,PHI,Regional,0.0,17.0,137.0,0.63,2.94,154.0
212,213,Wed,2016-11-23,SAS,CHA,ESPN,1110.0,31.0,0.0,0.94,1.19,1141.0
213,214,Wed,2016-11-23,PHX,ORL,Regional,0.0,17.0,19.0,1.89,1.52,36.0
214,215,Wed,2016-11-23,POR,CLE,Regional,0.0,43.0,231.0,1.14,1.5,274.0
215,216,Wed,2016-11-23,ATL,IND,Regional,0.0,29.0,40.0,2.41,1.09,69.0
216,217,Wed,2016-11-23,BOS,BRK,Regional,0.0,55.0,52.0,2.42,7.35,107.0
217,218,Wed,2016-11-23,MIA,DET,Regional,0.0,47.0,29.0,1.7,1.85,76.0
218,219,Wed,2016-11-23,TOR,HOU,Regional,0.0,0.0,91.0,2.86,2.45,91.0
219,220,Wed,2016-11-23,LAC,DAL,Regional,0.0,136.0,23.0,5.48,2.71,159.0
220,221,Wed,2016-11-23,DEN,UTA,Regional,0.0,17.0,28.9,1.63,0.92,45.9
221,222,Wed,2016-11-23,MIN,NOP,ESPN,1287.0,0.0,0.0,1.74,0.64,1287.0
222,223,Wed,2016-11-23,LAL,GSW,Regional,0.0,247.0,446.0,5.48,2.49,693.0
223,224,Wed,2016-11-23,OKC,SAC,Regional,0.0,40.6,17.0,0.72,1.38,57.6
224,225,Fri,2016-11-25,SAS,BOS,Regional,0.0,26.0,67.0,0.94,2.42,93.0
225,226,Fri,2016-11-25,WAS,ORL,Regional,0.0,13.0,20.0,2.48,1.52,33.0
226,227,Fri,2016-11-25,DAL,CLE,Regional,0.0,36.0,218.0,2.71,1.5,254.0
227,228,Fri,2016-11-25,CHA,NYK,NBA TV,303.0,28.0,240.0,1.19,7.35,571.0
228,229,Fri,2016-11-25,CHI,PHI,Regional,0.0,196.0,91.0,3.46,2.94,287.0
229,230,Fri,2016-11-25,LAC,DET,Regional,0.0,116.0,52.0,5.48,1.85,168.0
230,231,Fri,2016-11-25,ATL,UTA,Regional,0.0,32.0,37.0,2.41,0.92,69.0
231,232,Fri,2016-11-25,TOR,MIL,Regional,0.0,0.0,23.0,2.86,0.9,23.0
232,233,Fri,2016-11-25,MIA,MEM,Regional,0.0,35.0,13.1,1.7,0.63,48.1
233,234,Fri,2016-11-25,BRK,IND,Regional,0.0,18.0,32.0,7.35,1.09,50.0
234,235,Fri,2016-11-25,OKC,DEN,Regional,0.0,36.5,16.0,0.72,1.63,52.5
235,236,Fri,2016-11-25,MIN,PHX,Regional,0.0,31.0,33.0,1.74,1.89,64.0
236,237,Fri,2016-11-25,NOP,POR,Regional,0.0,6.9,54.0,0.64,1.14,60.9
237,238,Fri,2016-11-25,GSW,LAL,NBA TV,627.0,387.0,241.0,2.49,5.48,1255.0
238,239,Fri,2016-11-25,HOU,SAC,Regional,0.0,32.0,28.0,2.45,1.38,60.0
239,240,Sat,2016-11-26,SAS,WAS,NBA TV,202.0,41.0,25.0,0.94,2.48,268.0
240,241,Sat,2016-11-26,NYK,CHA,Regional,0.0,208.0,18.0,7.35,1.19,226.0
241,242,Sat,2016-11-26,DET,OKC,Regional,0.0,25.0,50.9,1.85,0.72,75.9
242,243,Sat,2016-11-26,MEM,MIA,Regional,0.0,6.3,55.0,0.63,1.7,61.3
243,244,Sat,2016-11-26,MIN,GSW,Regional,0.0,66.0,369.0,1.74,2.49,435.0
244,245,Sun,2016-11-27,CLE,PHI,Regional,0.0,100.0,44.0,1.5,2.94,144.0
245,246,Sun,2016-11-27,DEN,PHX,Regional,0.0,0.0,13.0,1.63,1.89,13.0
246,247,Sun,2016-11-27,SAC,BRK,Regional,0.0,14.0,16.0,1.38,7.35,30.0
247,248,Sun,2016-11-27,MIL,ORL,Regional,0.0,13.0,7.0,0.9,1.52,20.0
248,249,Sun,2016-11-27,LAC,IND,Regional,0.0,59.0,17.0,5.48,1.09,76.0
249,250,Sun,2016-11-27,NOP,DAL,Regional,0.0,5.7,15.0,0.64,2.71,20.7
250,251,Sun,2016-11-27,HOU,POR,Regional,0.0,38.0,49.0,2.45,1.14,87.0
251,252,Sun,2016-11-27,ATL,LAL,Regional,0.0,22.0,169.0,2.41,5.48,191.0
252,253,Mon,2016-11-28,SAC,WAS,Regional,0.0,31.0,24.0,1.38,2.48,55.0
253,254,Mon,2016-11-28,PHI,TOR,Regional,0.0,15.0,0.0,2.94,2.86,15.0
254,255,Mon,2016-11-28,OKC,NYK,Regional,0.0,48.91666667,328.0,0.72,7.35,376.91666667
255,256,Mon,2016-11-28,BOS,MIA,NBA TV,156.0,64.0,47.0,2.42,1.7,267.0
256,257,Mon,2016-11-28,CHA,MEM,Regional,0.0,17.0,11.3,1.19,0.63,28.3
257,258,Mon,2016-11-28,UTA,MIN,Regional,0.0,38.1,27.0,0.92,1.74,65.1
258,259,Mon,2016-11-28,ATL,GSW,Regional,0.0,24.0,402.0,2.41,2.49,426.0
259,260,Tue,2016-11-29,DET,CHA,Regional,0.0,37.0,11.0,1.85,1.19,48.0
260,261,Tue,2016-11-29,LAC,BRK,Regional,0.0,106.0,78.0,5.48,7.35,184.0
261,262,Tue,2016-11-29,CLE,MIL,Regional,0.0,207.0,18.0,1.5,0.9,225.0
262,263,Tue,2016-11-29,LAL,NOP,Regional,0.0,116.0,7.1,5.48,0.64,123.1
263,264,Tue,2016-11-29,ORL,SAS,Regional,0.0,14.0,55.3,1.52,0.94,69.3
264,265,Tue,2016-11-29,HOU,UTA,NBA TV,322.0,69.0,49.0,2.45,0.92,440.0
265,266,Wed,2016-11-30,SAC,PHI,Regional,0.0,0.0,0.0,1.38,2.94,0.0
266,267,Wed,2016-11-30,DET,BOS,NBA TV,231.0,33.0,69.0,1.85,2.42,333.0
267,268,Wed,2016-11-30,MEM,TOR,Regional,0.0,13.0,0.0,0.63,2.86,13.0
