,DAY,Away,Home,Network,Date,Season,Game_id,Average Viewers (000),Away P2+ IMP,Home P2+ IMP,Away_DMA_TV_Households_Millions,Home_DMA_TV_Households_Millions,Total Viewership,Percent_Tickets_Sold,Total_All_Stars,Home_All_Star,Away_All_Star,Month,Day_of_Week,Home_Top_Jersey_Sellers,Away_Top_Jersey_Sellers,Holiday,Weekend,Weekday,Total_Top_Jersey_Sellers,Past_Playoff_Teams,Rivalry,Home_Pace_Rating,Away_Pace_Rating,Home_Elo,Away_Elo,Web_Viewing
13,Thu,WAS,ATL,Regional,2016-10-27,2016,21600014,0,47,64,2.48,2.41,111,1,2,1,1,10,3,0,0,0,0,1,0,0,0,101.6,100.8,1553.1662919999999,1481.2128300000002,23755
14,Thu,BOS,CHI,TNT,2016-10-27,2016,21600015,1961,0,0,2.42,3.46,1961,1,2,1,1,10,3,2,1,0,0,1,3,0,0,98.4,100,1533.170256,1469.983993,70728
15,Thu,SAS,SAC,Regional,2016-10-27,2016,21600016,0,49,90,0.94,1.38,139,1,2,1,1,10,3,1,2,0,0,1,3,0,0,98.7,98,1431.098226,1717.749493,43572
16,Thu,LAC,POR,TNT,2016-10-27,2016,21600017,1685,0,0,5.48,1.14,1685,1,1,0,1,10,3,1,2,0,0,1,3,1,0,101.8,99.8,1563.485801,1597.5885460000002,35522
17,Fri,CLE,TOR,ESPN,2016-10-28,2016,21600018,1410,63,0,1.5,2.86,1473,1,5,2,3,10,4,2,3,0,0,1,5,1,0,99,100.7,1557.072206,1656.22858,59013
18,Fri,IND,BRK,Regional,2016-10-28,2016,21600019,0,35,23,1.09,7.35,58,1,1,0,1,10,4,1,1,0,0,1,2,0,0,105.2,100.8,1398.7726699999998,1547.099975,24089
19,Fri,ORL,DET,Regional,2016-10-28,2016,21600020,0,13,46,1.52,1.85,59,0.8201027984009137,0,0,0,10,4,0,0,0,0,1,0,0,0,97.9,99.7,1494.7761890000002,1433.725523,21542
20,Fri,PHX,OKC,Regional,2016-10-28,2016,21600021,0,28,50.33333333,1.89,0.72,78.33333333,1,1,1,0,10,4,1,0,0,0,1,1,0,0,102.2,103.9,1665.8109980000002,1377.1277710000002,27694
21,Fri,CHA,MIA,Regional,2016-10-28,2016,21600022,0,9.4,86,1.19,1.7,95.4,1,1,0,1,10,4,0,1,0,0,1,1,1,0,99,100.3,1555.162882,1538.657707,23773
22,Fri,HOU,DAL,Regional,2016-10-28,2016,21600023,0,54,15,2.45,2.71,69,1,1,0,1,10,4,1,1,0,0,1,2,0,1,95,103.3,1509.5900179999999,1500.436263,13052
23,Fri,LAL,UTA,Regional,2016-10-28,2016,21600024,0,146,36.27272727,5.48,0.92,182.27272727,1,1,1,0,10,4,0,0,0,0,1,0,0,0,94.6,101.4,1509.80461,1332.097116,53928
24,Fri,GSW,NOP,ESPN,2016-10-28,2016,21600025,1875,174,0,2.49,0.64,2049,1,5,1,4,10,4,0,5,0,0,1,5,0,0,102.1,104.5,1468.9474,1672.529957,53726
25,Sat,BOS,CHA,Regional,2016-10-29,2016,21600027,0,35,5.8,2.42,1.19,40.8,0.9613146721182576,2,1,1,10,5,1,1,0,1,0,2,0,0,100.3,100,1530.514915,1479.7628029999998,26755
26,Sat,MEM,NYK,Regional,2016-10-29,2016,21600028,0,9.916666667000001,258,0.63,7.35,267.916666667,1,2,1,1,10,5,3,0,0,1,0,3,0,0,101.5,97.7,1399.368857,1435.907709,28329
27,Sat,ORL,CLE,Regional,2016-10-29,2016,21600029,0,13,59,1.52,1.5,72,1,3,3,0,10,5,3,0,0,1,0,3,0,0,100.7,99.7,1658.901331,1429.635088,45726
28,Sat,IND,CHI,Regional,2016-10-29,2016,21600030,0,19,28,1.09,3.46,47,1,2,1,1,10,5,2,1,0,1,0,3,0,0,98.4,100.8,1547.423268,1532.033453,38946
29,Sat,BRK,MIL,Regional,2016-10-29,2016,21600031,0,19,11,7.35,0.9,30,0.3431639685847091,1,1,0,10,5,1,1,0,1,0,2,0,0,99.2,105.2,1444.768249,1394.3762060000001,37502
30,Sat,NOP,SAS,NBA TV,2016-10-29,2016,21600032,219,8.1,38,0.64,0.94,265.1,1,2,1,1,10,5,2,0,0,1,0,2,0,0,98,102.1,1722.514059,1461.338915,39319
31,Sat,POR,DEN,Regional,2016-10-29,2016,21600033,0,58,19,1.14,1.63,77,0.8313216350542652,0,0,0,10,5,0,1,0,1,0,1,0,0,102.1,101.8,1410.5959050000001,1566.046274,19217
32,Sat,MIN,SAC,NBA TV,2016-10-29,2016,21600034,260,42,74,1.74,1.38,376,1,1,1,0,10,5,1,0,0,1,0,1,0,0,98.7,98.4,1435.517697,1384.18534,26657
33,Sat,ATL,PHI,Regional,2016-10-29,2016,21600026,0,22,49,2.41,2.94,71,0.5967110415035238,1,0,1,10,5,1,0,0,1,0,1,0,0,102.1,101.6,1251.901622,1558.9739470000002,22824
34,Sun,UTA,LAC,Regional,2016-10-30,2016,21600035,0,20.7,53,0.92,5.48,73.7,1,2,1,1,10,6,2,0,0,1,0,2,0,0,99.8,94.6,1605.605399,1499.886917,19790
35,Sun,GSW,PHX,Regional,2016-10-30,2016,21600036,0,242,27,2.49,1.89,269,0.8843533647189145,4,0,4,10,6,0,5,0,1,0,5,0,0,103.9,104.5,1374.297399,1674.461431,57068
36,Sun,SAS,MIA,Regional,2016-10-30,2016,21600037,0,47,73,0.94,1.7,120,1,1,0,1,10,6,0,2,0,1,0,2,0,0,99,98,1550.250876,1726.612675,43939
37,Sun,MIL,DET,Regional,2016-10-30,2016,21600038,0,3,31,0.9,1.85,34,0.4430801446792309,1,0,1,10,6,0,1,0,1,0,1,0,0,97.9,99.2,1505.078701,1432.748504,18488
38,Sun,LAL,OKC,Regional,2016-10-30,2016,21600040,0,10,46.9,5.48,0.72,56.9,1,1,1,0,10,6,1,0,0,1,0,1,0,0,102.2,101.4,1668.589376,1326.991731,47763
39,Sun,WAS,MEM,NBA TV,2016-10-30,2016,21600039,82,21,12,2.48,0.63,115,0.7189690380263811,2,1,1,10,6,0,0,0,1,0,0,0,0,97.7,100.8,1446.442702,1470.601467,13383
40,Sun,DAL,HOU,Regional,2016-10-30,2016,21600041,0,7,59,2.71,2.45,66,1,1,1,0,10,6,1,1,0,1,0,2,0,1,103.3,95,1504.303575,1505.471799,13199
41,Mon,DEN,TOR,Regional,2016-10-31,2016,21600042,0,5,0,1.63,2.86,5,1,2,2,0,10,0,2,0,0,0,1,2,0,0,99,102.1,1559.882169,1406.7853460000001,25310
42,Mon,CHI,BRK,NBA TV,2016-10-31,2016,21600043,176,92,60,3.46,7.35,328,0.7868260771486578,1,0,1,10,0,1,2,0,0,1,3,0,0,105.2,98.4,1380.996891,1558.83729,60313
43,Mon,SAC,ATL,Regional,2016-10-31,2016,21600044,0,28,35,1.38,2.41,63,0.38538261206848784,2,1,1,10,0,0,1,0,0,1,1,0,0,101.6,98.7,1565.129033,1427.467189,29099
44,Mon,PHX,LAC,Regional,2016-10-31,2016,21600045,0,31,103,1.89,5.48,134,1,1,1,0,10,0,2,0,0,0,1,2,0,0,99.8,103.9,1610.635703,1366.4888939999998,21664
45,Tue,ORL,PHI,Regional,2016-11-01,2016,21600046,0,16,84,1.52,2.94,100,0.2264095536413469,0,0,0,11,1,1,0,0,0,1,1,0,0,102.1,99.7,1249.1768880000002,1431.8722810000002,41252
46,Tue,HOU,CLE,NBA TV,2016-11-01,2016,21600047,400,65,212,2.45,1.5,677,1,4,3,1,11,1,3,1,0,0,1,4,0,0,100.7,103.3,1663.293196,1498.271097,57491
47,Tue,LAL,IND,Regional,2016-11-01,2016,21600048,0,91,28,5.48,1.09,119,0.7126597109858841,1,1,0,11,1,1,0,0,0,1,1,0,0,100.8,101.4,1535.211763,1322.261968,42036
48,Tue,SAC,MIA,Regional,2016-11-01,2016,21600049,0,25,85,1.38,1.7,110,1,1,0,1,11,1,0,1,0,0,1,1,0,0,99,98.7,1556.7751130000001,1418.942835,23989
49,Tue,NYK,DET,Regional,2016-11-01,2016,21600050,0,200,42,7.35,1.85,242,0.24566914144298496,1,0,1,11,1,0,3,0,0,1,3,0,0,97.9,101.5,1512.494081,1389.935374,37262
50,Tue,MIL,NOP,Regional,2016-11-01,2016,21600051,0,14,6,0.9,0.64,20,0.8357687984381471,2,1,1,11,1,0,1,0,0,1,1,0,0,102.1,99.2,1455.1336390000001,1439.752326,21459
51,Tue,MEM,MIN,Regional,2016-11-01,2016,21600052,0,12,52,0.63,1.74,64,0.5265550733622649,1,0,1,11,1,0,0,0,0,1,0,0,0,98.4,97.7,1412.745299,1418.416281,26190
52,Tue,UTA,SAS,Regional,2016-11-01,2016,21600053,0,36,50,0.92,0.94,86,1,2,1,1,11,1,2,0,0,0,1,2,0,0,98,94.6,1709.818878,1525.7638630000001,39448
53,Tue,GSW,POR,NBA TV,2016-11-01,2016,21600054,692,283,40,2.49,1.14,1015,1,4,0,4,11,1,1,5,0,0,1,6,1,0,101.8,104.5,1553.354492,1686.061659,61096
54,Wed,TOR,WAS,Regional,2016-11-02,2016,21600055,0,0,16,2.86,2.48,16,0.9238553743368048,3,1,2,11,2,0,2,0,0,1,2,0,0,100.8,99,1462.899526,1567.132319,23637
55,Wed,PHI,CHA,Regional,2016-11-02,2016,21600056,0,67,9.6,2.94,1.19,76.6,0.6014048330450279,1,1,0,11,2,1,1,0,0,1,2,0,0,100.3,102.1,1534.075633,1243.180231,29143
56,Wed,DET,BRK,Regional,2016-11-02,2016,21600057,0,19,36,1.85,7.35,55,0.5395894428152492,0,0,0,11,2,1,0,0,0,1,1,0,0,105.2,97.9,1393.676845,1501.3101570000001,22265
57,Wed,HOU,NYK,Regional,2016-11-02,2016,21600058,0,49,102,2.45,7.35,151,1,2,1,1,11,2,3,1,0,0,1,4,0,0,101.5,103.3,1378.82871,1508.423776,31433
58,Wed,LAL,ATL,Regional,2016-11-02,2016,21600059,0,99,45,5.48,2.41,144,0.529340056519089,1,1,0,11,2,0,0,0,0,1,0,0,0,101.6,101.4,1554.541228,1339.007489,56394
59,Wed,NOP,MEM,Regional,2016-11-02,2016,21600060,0,10,13,0.64,0.63,23,0.7529664992549258,2,1,1,11,2,0,0,0,0,1,0,0,0,97.7,102.1,1426.5513369999999,1446.830628,16208
60,Wed,CHI,BOS,ESPN,2016-11-02,2016,21600061,811,46,38,3.46,2.42,895,1,2,1,1,11,2,1,2,0,0,1,3,0,0,100,98.4,1489.8883720000001,1549.1547289999999,62672
61,Wed,DAL,UTA,Regional,2016-11-02,2016,21600062,0,19,28,2.71,0.92,47,0.9404349354628097,1,1,0,11,2,0,1,0,0,1,1,0,0,94.6,95,1537.840141,1492.014922,18273
62,Wed,POR,PHX,Regional,2016-11-02,2016,21600063,0,34,24,1.14,1.89,58,0.9145942952090832,0,0,0,11,2,0,1,0,0,1,1,0,0,103.9,101.8,1375.4491480000002,1546.101218,39424
63,Wed,OKC,LAC,ESPN,2016-11-02,2016,21600064,947,18,37,0.72,5.48,1002,1,2,1,1,11,2,2,1,0,0,1,3,0,0,99.8,102.2,1606.733674,1672.443949,35733
64,Thu,SAC,ORL,Regional,2016-11-03,2016,21600065,0,34,16,1.38,1.52,50,0.8068555661678871,1,0,1,11,3,0,1,0,0,1,1,0,0,99.7,98.7,1439.889561,1410.109881,24681
65,Thu,IND,MIL,Regional,2016-11-03,2016,21600066,0,34,19,1.09,0.9,53,0.21536571031682428,2,1,1,11,3,1,1,0,0,1,2,0,0,99.2,100.8,1458.995359,1517.2690710000002,21110
66,Thu,DEN,MIN,Regional,2016-11-03,2016,21600067,0,5,51,1.63,1.74,56,0.15922711303988427,0,0,0,11,3,0,0,0,0,1,0,0,0,98.4,102.1,1407.503155,1412.499098,21251
67,Thu,BOS,CLE,TNT,2016-11-03,2016,21600068,2277,0,0,2.42,1.5,2277,1,4,3,1,11,3,3,1,0,0,1,4,0,0,100.7,100,1666.710527,1485.052778,71718
68,Thu,OKC,GSW,TNT,2016-11-03,2016,21600069,3769,0,0,0.72,2.49,3769,1,5,4,1,11,3,5,1,0,0,1,6,1,0,104.5,102.2,1703.428421,1653.289982,89926
69,Fri,ATL,WAS,Regional,2016-11-04,2016,21600070,0,26,27,2.41,2.48,53,0.4406563175476518,2,1,1,11,4,0,0,0,0,1,0,0,0,100.8,101.6,1469.8847779999999,1547.9895900000001,17214
70,Fri,MIA,TOR,Regional,2016-11-04,2016,21600071,0,76,0,1.7,2.86,76,1,2,2,0,11,4,2,0,0,0,1,2,1,0,99,99,1575.809953,1547.252465,26792
71,Fri,CHA,BRK,Regional,2016-11-04,2016,21600072,0,6.6,48,1.19,7.35,54.6,0.7792691179787954,1,0,1,11,4,1,1,0,0,1,2,0,0,105.2,100.3,1389.6473369999999,1537.5811720000002,17660
72,Fri,NYK,CHI,ESPN,2016-11-04,2016,21600073,1999,0,0,7.35,3.46,1999,1,2,1,1,11,4,2,3,0,0,1,5,0,1,98.4,101.5,1534.502848,1399.460527,63453
73,Fri,LAC,MEM,Regional,2016-11-04,2016,21600074,0,52,7.545454545,5.48,0.63,59.545454545,0.8891771069043546,2,1,1,11,4,0,2,0,0,1,2,0,0,97.7,99.8,1420.393233,1611.770695,16138
74,Fri,PHX,NOP,Regional,2016-11-04,2016,21600075,0,44,9.909090909,1.89,0.64,53.909090909,0.8196769804176773,1,1,0,11,4,0,0,0,0,1,0,0,0,102.1,103.9,1442.555878,1380.6043789999999,17006
75,Fri,POR,DAL,Regional,2016-11-04,2016,21600076,0,38,30,1.14,2.71,68,1,0,0,0,11,4,1,1,0,0,1,2,0,0,95,101.8,1483.550872,1554.512225,15650
76,Fri,SAS,UTA,Regional,2016-11-04,2016,21600077,0,46,32.9,0.94,0.92,78.9,1,2,1,1,11,4,0,2,0,0,1,2,0,0,94.6,98,1530.44551,1715.9448719999998,31520
77,Fri,GSW,LAL,ESPN,2016-11-04,2016,21600078,2496,205,156,2.49,5.48,2857,1,4,0,4,11,4,0,5,0,0,1,5,0,0,101.4,104.5,1376.015398,1680.835664,104000
78,Sat,MIN,OKC,Regional,2016-11-05,2016,21600079,0,17,32.72727273,1.74,0.72,49.72727273,1,1,1,0,11,5,1,0,0,1,0,1,0,0,102.2,98.4,1658.3060369999998,1399.532184,24660
79,Sat,CLE,PHI,Regional,2016-11-05,2016,21600080,0,110,98,1.5,2.94,208,1,3,0,3,11,5,1,3,0,1,0,4,0,0,102.1,100.7,1242.304225,1667.1954859999998,53804
80,Sat,WAS,ORL,Regional,2016-11-05,2016,21600081,0,27,12,2.48,1.52,39,1,1,0,1,11,5,0,0,0,1,0,0,0,0,99.7,100.8,1444.859222,1464.759777,15028
81,Sat,DEN,DET,Regional,2016-11-05,2016,21600082,0,17,46,1.63,1.85,63,0.5436893203883495,0,0,0,11,5,0,0,0,1,0,0,0,0,97.9,102.1,1510.8516960000002,1400.676327,14614
82,Sat,CHI,IND,Regional,2016-11-05,2016,21600083,0,76,32,3.46,1.09,108,0.8992356190369916,2,1,1,11,5,1,2,0,1,0,3,0,0,100.8,98.4,1531.6877980000002,1519.338485,32109
83,Sat,HOU,ATL,Regional,2016-11-05,2016,21600084,0,55,37,2.45,2.41,92,0.8723333518036239,2,1,1,11,5,0,1,0,1,0,1,0,0,101.6,103.3,1558.727515,1496.096751,17307
84,Sat,SAC,MIL,Regional,2016-11-05,2016,21600085,0,26,15,1.38,0.9,41,0.7119196452422931,2,1,1,11,5,1,1,0,1,0,2,0,0,99.2,98.7,1474.151662,1392.4579999999999,21180
85,Sat,LAC,SAS,NBA TV,2016-11-05,2016,21600086,270,105,30,5.48,0.94,405,1,2,1,1,11,5,2,2,0,1,0,4,0,0,98,99.8,1695.2765760000002,1638.000949,33092
86,Sun,POR,MEM,Regional,2016-11-06,2016,21600088,0,32,14.8,1.14,0.63,46.8,0.7918207406589768,1,1,0,11,6,0,1,0,1,0,1,0,0,97.7,101.8,1415.3684460000002,1558.926255,17883
87,Sun,SAC,TOR,Regional,2016-11-06,2016,21600089,0,28,0,1.38,2.86,28,1,3,2,1,11,6,2,1,0,1,0,3,0,0,99,98.7,1567.298407,1404.693709,28563
88,Sun,MIL,DAL,NBA TV,2016-11-06,2016,21600090,191,14,25,0.9,2.71,230,1,1,0,1,11,6,1,1,0,1,0,2,0,0,95,99.2,1493.402233,1463.356946,15768
89,Sun,DEN,BOS,Regional,2016-11-06,2016,21600091,0,5,34,1.63,2.42,39,0.8741408934707904,1,1,0,11,6,1,0,0,1,0,1,0,0,100,102.1,1469.883114,1419.3435960000002,22592
90,Sun,PHX,LAL,Regional,2016-11-06,2016,21600092,0,57,204,1.89,5.48,261,1,0,0,0,11,6,0,0,0,1,0,0,0,0,101.4,103.9,1386.381001,1369.488392,64003
91,Sun,UTA,NYK,Regional,2016-11-06,2016,21600087,0,27.36363636,90,0.92,7.35,117.36363636,1,2,1,1,11,6,3,0,0,1,0,3,0,0,101.5,94.6,1394.842875,1534.521577,27059
92,Mon,UTA,PHI,NBA TV,2016-11-07,2016,21600093,171,34.2,76,0.92,2.94,281.2,0.3868441660140956,1,0,1,11,0,1,0,0,0,1,1,0,0,102.1,94.6,1235.198809,1539.39507,26398
93,Mon,HOU,WAS,Regional,2016-11-07,2016,21600094,0,48,24,2.45,2.48,72,0.29426213401454115,2,1,1,11,0,0,1,0,0,1,1,0,0,100.8,103.3,1456.927398,1504.157292,15227
94,Mon,IND,CHA,Regional,2016-11-07,2016,21600095,0,28,19,1.09,1.19,47,0.7696702835875662,2,1,1,11,0,1,1,0,0,1,2,0,0,100.3,100.8,1553.450043,1514.393061,23034
95,Mon,ORL,CHI,Regional,2016-11-07,2016,21600096,0,15,174,1.52,3.46,189,1,1,1,0,11,0,2,0,0,0,1,2,0,0,98.4,99.7,1535.203655,1425.634036,35217
96,Mon,MIA,OKC,Regional,2016-11-07,2016,21600097,0,61,45.5,1.7,0.72,106.5,1,1,1,0,11,0,1,0,0,0,1,1,0,0,102.2,99,1665.183383,1538.4301269999999,28581
97,Mon,DET,LAC,Regional,2016-11-07,2016,21600098,0,13,80,1.85,5.48,93,1,1,1,0,11,0,2,0,0,0,1,2,0,0,99.8,97.9,1650.598511,1494.279164,20692
98,Mon,NOP,GSW,Regional,2016-11-07,2016,21600099,0,5.3,341,0.64,2.49,346.3,1,5,4,1,11,0,5,0,0,0,1,5,0,0,104.5,102.1,1684.141013,1437.366874,56651
99,Tue,ATL,CLE,NBA TV,2016-11-08,2016,21600100,429,65,135,2.41,1.5,629,1,4,3,1,11,1,3,0,0,0,1,3,1,0,100.7,101.6,1660.135793,1567.747268,54677
100,Tue,MIN,BRK,Regional,2016-11-08,2016,21600101,0,23,34,1.74,7.35,57,0.5350778254004059,0,0,0,11,1,1,0,0,0,1,1,0,0,105.2,98.4,1398.984866,1389.600036,21446
101,Tue,DEN,MEM,Regional,2016-11-08,2016,21600102,0,11,10,1.63,0.63,21,0.6677520834483139,1,1,0,11,1,0,0,0,0,1,0,0,0,97.7,102.1,1419.164953,1415.268402,13404
102,Tue,PHX,POR,Regional,2016-11-08,2016,21600103,0,24,32,1.89,1.14,56,0.9841179807146908,0,0,0,11,1,1,0,0,0,1,1,0,0,101.8,103.9,1561.209854,1366.173679,17958
103,Tue,DAL,LAL,Regional,2016-11-08,2016,21600104,0,28,172,2.71,5.48,200,1,0,0,0,11,1,0,1,0,0,1,1,0,0,101.4,95,1378.17379,1500.9197199999999,44710
104,Tue,NOP,SAC,NBA TV,2016-11-08,2016,21600105,174,2,37,0.64,1.38,213,1,2,1,1,11,1,1,0,0,0,1,1,0,0,98.7,102.1,1414.1167970000001,1427.6892050000001,18658
105,Wed,BRK,NYK,ESPN,2016-11-09,2016,21600106,1114,32,136,7.35,7.35,1282,1,1,1,0,11,2,3,1,0,0,1,4,0,1,101.5,105.2,1406.930897,1386.01284,28606
106,Wed,BOS,WAS,Regional,2016-11-09,2016,21600107,0,35,22,2.42,2.48,57,0.2453330713303203,2,1,1,11,2,0,1,0,0,1,1,0,0,100.8,100,1475.519229,1450.200633,18163
107,Wed,UTA,CHA,Regional,2016-11-09,2016,21600108,0,33.5,23.45454545,0.92,1.19,56.95454545,0.6472191644388531,2,1,1,11,2,1,0,0,0,1,1,0,0,100.3,94.6,1560.249698,1531.890607,19103
108,Wed,MIN,ORL,Regional,2016-11-09,2016,21600109,0,34,17,1.74,1.52,51,0.8149209381301071,0,0,0,11,2,0,0,0,0,1,0,0,0,99.7,98.4,1411.644972,1405.571915,18749
109,Wed,PHI,IND,Regional,2016-11-09,2016,21600110,0,79,38,2.94,1.09,117,0.7139987725269207,1,1,0,11,2,1,1,0,0,1,2,0,0,100.8,102.1,1516.5486939999998,1231.581252,16181
110,Wed,CHI,ATL,Regional,2016-11-09,2016,21600111,0,110,61,3.46,2.41,171,0.8123787887183466,2,1,1,11,2,0,2,0,0,1,2,0,0,101.6,98.4,1575.1894810000001,1526.752276,30204
111,Wed,TOR,OKC,Regional,2016-11-09,2016,21600112,0,0,54.81818182,2.86,0.72,54.81818182,1,3,1,2,11,2,1,2,0,0,1,3,0,0,102.2,99,1653.764783,1581.648379,28046
112,Wed,DET,PHX,Regional,2016-11-09,2016,21600113,0,25,33,1.85,1.89,58,0.852007754084741,0,0,0,11,2,0,0,0,0,1,0,0,0,103.9,97.9,1377.8168380000002,1483.955779,14704
113,Wed,HOU,SAS,ESPN,2016-11-09,2016,21600114,1451,46,36,2.45,0.94,1533,1,2,1,1,11,2,2,1,0,0,1,3,0,1,98,103.3,1689.395607,1512.716589,24121
114,Wed,POR,LAC,Regional,2016-11-09,2016,21600115,0,32,91,1.14,5.48,123,1,1,1,0,11,2,2,1,0,0,1,3,1,0,99.8,101.8,1665.149753,1543.163424,25467
115,Wed,DAL,GSW,Regional,2016-11-09,2016,21600116,0,43,370,2.71,2.49,413,1,4,4,0,11,2,5,1,0,0,1,6,0,0,104.5,95,1691.2794789999998,1490.660003,47584
116,Thu,NOP,MIL,Regional,2016-11-10,2016,21600117,0,5.1,16,0.64,0.9,21.1,0.29924667414649786,2,1,1,11,3,1,0,0,0,1,1,0,0,99.2,102.1,1455.667699,1436.4633609999998,18895
117,Thu,CHI,MIA,TNT,2016-11-10,2016,21600118,1581,0,0,3.46,1.7,1581,1,1,0,1,11,3,0,2,0,0,1,2,0,1,99,98.4,1533.12559,1532.585225,31935
118,Thu,GSW,DEN,Regional,2016-11-10,2016,21600119,0,262,15,2.49,1.63,277,0.7820265747033167,4,0,4,11,3,0,5,0,0,1,5,0,0,102.1,104.5,1407.918902,1696.4519710000002,60084
119,Thu,LAL,SAC,TNT,2016-11-10,2016,21600120,1497,0,0,5.48,1.38,1497,1,1,1,0,11,3,1,0,0,0,1,1,0,0,98.7,101.4,1403.7923460000002,1389.959975,38355
120,Fri,IND,PHI,Regional,2016-11-11,2016,21600121,0,33,83,1.09,2.94,116,0.7269968676585747,1,0,1,11,4,1,1,1,0,1,2,0,0,102.1,100.8,1244.0156789999999,1507.921104,18550
121,Fri,CLE,WAS,Regional,2016-11-11,2016,21600122,0,156,29,1.5,2.48,185,1,4,1,3,11,4,0,3,1,0,1,3,0,0,100.8,100.7,1469.453478,1665.063189,39146
122,Fri,TOR,CHA,Regional,2016-11-11,2016,21600123,0,0,15,2.86,1.19,15,0.8983068616658804,3,1,2,11,4,1,2,1,0,1,3,0,0,100.3,99,1555.983328,1586.106702,29702
123,Fri,UTA,ORL,Regional,2016-11-11,2016,21600124,0,22.7,10,0.92,1.52,32.7,1,1,0,1,11,4,0,0,1,0,1,0,0,0,99.7,94.6,1403.336669,1539.34706,14743
124,Fri,NYK,BOS,Regional,2016-11-11,2016,21600125,0,162,38,7.35,2.42,200,1,2,1,1,11,4,1,3,1,0,1,4,0,1,100,101.5,1466.548323,1388.0561400000001,31556
125,Fri,LAC,OKC,NBA TV,2016-11-11,2016,21600126,407,148,57.27272727,5.48,0.72,612.27272727,1,2,1,1,11,4,1,2,1,0,1,3,0,0,102.2,99.8,1649.400583,1669.781158,25716
126,Fri,DET,SAS,Regional,2016-11-11,2016,21600127,0,26,49,1.85,0.94,75,1,1,1,0,11,4,2,0,1,0,1,2,0,0,98,97.9,1693.308323,1478.12941,21002
127,Fri,SAC,POR,Regional,2016-11-11,2016,21600128,0,31,63,1.38,1.14,94,1,1,0,1,11,4,1,1,1,0,1,2,0,0,101.8,98.7,1545.673949,1400.425692,67735
128,Sat,LAL,NOP,Regional,2016-11-12,2016,21600129,0,119,6.1111111110000005,5.48,0.64,125.111111111,1,1,1,0,11,5,0,0,0,1,0,0,0,0,102.1,101.4,1415.916082,1413.8024560000001,46607
